 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2   3.2282    1.0   -24.54  30.9963  False
     1      4    8.606   0.98 -19.5676  36.7796  False
     1      8  15.5605 0.7119  -13.563   44.684  False
     1     16  20.9202 0.4268 -10.1256  51.9659  False
     1     32  36.8589 0.0528  -0.2479  73.9657  False
     1     64  61.5773 0.0019   15.529 107.6256   True
     1    128  94.8692 0.0192   9.2819 180.4565   True
     2      4   5.3779 0.9989 -22.7957  33.5514  False
     2      8  12.3324 0.8902 -16.7911  41.4559  False
     2     16   17.692 0.6407 -13.3537  48.7378  False
     2     32  33.6307 0.1045   -3.476  70.7375  False
     2     64  58.3491  0.004  12.3008 104.3974   True
     2    128   91.641 0.0271   6.0538 177.2283   True
     4      8   6.9545 0.9957 -22.5558  36.4648  False
     4     16  12.3142 0.9241 -19.0947   43.723  False
     4     32  28.2529  0.281  -9.1582   65.664  False
     4     64  52.9712 0.0137   6.6773  99.2651   True
     4    128  86.2632 0.0474   0.5435 171.9828   True
     8     16   5.3596 0.9995 -26.9041  37.6233  False
     8     32  21.2984 0.6638 -16.8333    59.43  False
     8     64  46.0167 0.0582  -0.8613  92.8948  False
     8    128  79.3087  0.093  -6.7279 165.3452  False
    16     32  15.9387 0.9139 -23.6805  55.5579  False
    16     64  40.6571 0.1607  -7.4388   88.753  False
    16    128   73.949 0.1527 -12.7571 160.6551  False
    32     64  24.7184 0.8201 -27.4955  76.9322  False
    32    128  58.0103 0.4717  -31.046 147.0666  False
    64    128  33.2919 0.9527 -59.8453 126.4292  False
------------------------------------------------------
