 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2   3.6078 0.9999 -23.4858  30.7015  False
     1      4   9.9791 0.9533  -17.925  37.8831  False
     1      8  15.3498 0.7017 -13.0294  43.7289  False
     1     16  21.2558 0.3421  -8.2604  50.7719  False
     1     32   22.221  0.315   -7.984   52.426  False
     1     64  35.8474 0.0344   1.4999  70.1949   True
     1    128  46.8109 0.2424  -13.076 106.6979  False
     2      4   6.3712 0.9963 -21.1544  33.8969  False
     2      8  11.7419 0.8966 -16.2653  39.7491  False
     2     16  17.6479   0.57 -11.5107  46.8066  False
     2     32  18.6131  0.532 -11.2427  48.4689  False
     2     64  32.2395 0.0768  -1.8013  66.2804  False
     2    128  43.2031  0.336 -16.5085 102.9146  False
     4      8   5.3707 0.9991 -23.4212  34.1626  False
     4     16  11.2767 0.9387 -18.6364  41.1898  False
     4     32  12.2419 0.9174 -18.3512   42.835  False
     4     64  25.8683 0.2981   -8.821  60.5576  False
     4    128  36.8319 0.5538 -23.2518  96.9155  False
     8     16    5.906 0.9988 -24.4508  36.2628  False
     8     32   6.8712 0.9972 -24.1558  37.8983  False
     8     64  20.4976 0.6134  -14.575  55.5702  False
     8    128  31.4612 0.7385 -28.8446  91.7669  False
    16     32   0.9652    1.0  -31.105  33.0355  False
    16     64  14.5916  0.912 -21.4072  50.5904  False
    16    128  25.5552 0.8958 -35.2939  86.4042  False
    32     64  13.6264 0.9422 -22.9393  50.1921  False
    32    128  24.5899 0.9156 -36.5962  85.7761  False
    64    128  10.9636 0.9994 -52.3701  74.2972  False
------------------------------------------------------
