  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  33.0844  0.998  -85.8673 152.0362  False
     1      4  85.3005 0.4142  -33.6513 204.2523  False
     1      8 138.8824 0.0086   19.9306 257.8342   True
     1     16 192.0589    0.0   73.1071 311.0107   True
     1     32  226.209    0.0  107.2572 345.1608   True
     1     64   249.79    0.0  130.8382 368.7418   True
     1    128 259.5871    0.0  140.6353 378.5389   True
     1    256 266.0983    0.0  147.1465 385.0501   True
     1    512 268.4565    0.0  149.5047 387.4083   True
     1   1028 262.0453    0.0  143.0935 380.9971   True
     2      4   52.216 0.9395  -66.7358 171.1678  False
     2      8  105.798 0.1317  -13.1538 224.7498  False
     2     16 158.9745 0.0011   40.0227 277.9263   True
     2     32 193.1246    0.0   74.1728 312.0764   True
     2     64 216.7055    0.0   97.7537 335.6573   True
     2    128 226.5027    0.0  107.5509 345.4545   True
     2    256 233.0139    0.0  114.0621 351.9657   True
     2    512  235.372    0.0  116.4202 354.3238   True
     2   1028 228.9609    0.0  110.0091 347.9127   True
     4      8   53.582 0.9288  -65.3698 172.5338  False
     4     16 106.7585 0.1234  -12.1933 225.7103  False
     4     32 140.9086 0.0071   21.9568 259.8604   True
     4     64 164.4895 0.0006   45.5377 283.4413   True
     4    128 174.2867 0.0002   55.3349 293.2385   True
     4    256 180.7979 0.0001   61.8461 299.7497   True
     4    512  183.156 0.0001   64.2042 302.1078   True
     4   1028 176.7449 0.0001   57.7931 295.6967   True
     8     16  53.1765 0.9321  -65.7753 172.1283  False
     8     32  87.3266 0.3779  -31.6252 206.2784  False
     8     64 110.9076 0.0922   -8.0442 229.8593  False
     8    128 120.7047 0.0434    1.7529 239.6565   True
     8    256 127.2159 0.0251    8.2641 246.1677   True
     8    512  129.574 0.0204   10.6222 248.5258   True
     8   1028 123.1629 0.0354    4.2111 242.1147   True
    16     32  34.1501 0.9975  -84.8017 153.1019  False
    16     64   57.731 0.8887  -61.2208 176.6828  False
    16    128  67.5282 0.7493  -51.4236   186.48  False
    16    256  74.0394 0.6303  -44.9124 192.9912  False
    16    512  76.3975 0.5847  -42.5543 195.3493  False
    16   1028  69.9864  0.706  -48.9654 188.9382  False
    32     64  23.5809 0.9999  -95.3709 142.5327  False
    32    128  33.3781 0.9979  -85.5737 152.3299  False
    32    256  39.8893 0.9911  -79.0625 158.8411  False
    32    512  42.2474 0.9862  -76.7044 161.1992  False
    32   1028  35.8363 0.9962  -83.1155 154.7881  False
    64    128   9.7971    1.0 -109.1546 128.7489  False
    64    256  16.3083    1.0 -102.6435 135.2601  False
    64    512  18.6665    1.0 -100.2853 137.6183  False
    64   1028  12.2554    1.0 -106.6964 131.2072  False
   128    256   6.5112    1.0 -112.4406  125.463  False
   128    512   8.8693    1.0 -110.0825 127.8211  False
   128   1028   2.4582    1.0 -116.4936   121.41  False
   256    512   2.3581    1.0 -116.5937 121.3099  False
   256   1028   -4.053    1.0 -123.0048 114.8988  False
   512   1028  -6.4111    1.0 -125.3629 112.5407  False
-------------------------------------------------------
