model,1,2,4,8,16,32,64,128
Bloom-1b7,26,38.8,47.3,54.4,57.1,53.3,69.3,nan
Bloom-3b,17.1,26,31,33.7,34.2,32.8,45.1,nan
Bloom-7b1,12.8,16.5,18.2,18,17.5,23.4,nan,nan
Codellama-13b-hf,7,9.4,10.3,10.4,12.1,nan,nan,nan
Codellama-34b-hf,0.1,0.2,nan,nan,nan,nan,nan,nan
Codellama-7b-hf,11.6,14.3,16.4,16.7,16.4,17,nan,nan
Codestral-22b,0.3,0.6,nan,nan,nan,nan,nan,nan
Gemma-2b,4.8,5.1,5.4,5.2,5.6,5.6,nan,nan
Gemma-7b,3.1,3.3,3.4,3.4,nan,nan,nan,nan
Mistral-7b,11.5,14.3,15.6,16,15.5,14.3,12.5,nan
Mixtral-8x7b,0.1,0.2,0.4,0.6,1,1.7,nan,nan
Phi-1_5,24.6,39.3,56.9,60.2,63.7,59,64,nan
Phi-2,16.8,25.3,29.8,33.5,32.9,30.9,34.7,nan
Starcoder-15b,12.2,15.8,19.6,22,22.1,18.6,15.1,nan
Starcoder2-3b,24.9,37,61.5,101.1,128.1,130.4,123.1,104
Starcoder2-7b,12.3,15,17.1,16.9,16.2,14.5,12.7,12.1
Wizardcoder-15b,5.9,6.2,6.3,6.6,nan,nan,nan,nan
Wizardcoder-33b,nan,0.1,0.2,nan,nan,nan,nan,nan
