model,1,2,4,8,16,32,64,128,256
Bloom-1b7,37.6,54.8,66.3,71.5,73.6,70.9,94.3,nan,nan
Bloom-3b,27.3,36.9,43.1,44.6,45.3,50.6,nan,nan,nan
Bloom-7b1,16.8,20.1,21.8,21.4,28.9,nan,nan,nan,nan
Codellama-13b-hf,0.7,1.3,2.3,nan,nan,nan,nan,nan,nan
Codellama-34b-hf,0.1,0.2,0.3,0.6,1.1,nan,nan,nan,nan
Codellama-7b-hf,15.7,17.5,19.1,19.2,23.5,nan,nan,nan,nan
Codestral-22b,0.2,0.4,0.7,1.3,2.2,nan,nan,nan,nan
Gemma-2b,28.8,37.4,44.1,45.8,44.5,47.3,nan,nan,nan
Gemma-7b,2.1,3.6,5.4,7.2,nan,nan,nan,nan,nan
Mistral-7b,14.3,16.3,17.9,18.2,17.9,19.1,nan,nan,nan
Mixtral-8x7b,0,0.1,0.1,0.2,0.3,0.6,nan,nan,nan
Phi-1,26.2,6.7,12.1,19,29.8,41.6,50.7,nan,nan
Phi-1_5,37,54.3,68.6,75.4,76.1,74.4,86,nan,nan
Phi-2,19.5,2,4,6.6,11.5,16.7,25.1,nan,nan
Starcoder-15b,30.7,38,46.5,52.7,55.1,62.4,nan,nan,nan
Starcoder2-3b,44.8,79.7,130.1,191.5,262.8,282.4,264.4,250.6,280.3
Starcoder2-7b,15.7,18.2,20.2,19.8,19.5,17.9,22,nan,nan
Wizardcoder-15b,0.3,0.5,0.9,1.5,2.6,nan,nan,nan,nan
Wizardcoder-33b,0.1,nan,nan,nan,nan,nan,nan,nan,nan
