model,1,2,4,8,16,32,64,128,256
Bloom-1b7,27.7,46,60.5,67.7,70.7,69.7,82.1,nan,nan
Bloom-3b,22.1,33.3,40.5,43.5,43.6,42.4,53.1,nan,nan
Bloom-7b1,16.2,19.8,21.5,21.3,21,23.6,nan,nan,nan
Codellama-13b-hf,9.7,11.3,11.8,11.7,11.4,nan,nan,nan,nan
Codellama-7b-hf,14.8,17,18.8,19.1,18.5,17.1,23,nan,nan
Codestral-22b,0.8,1.6,nan,nan,nan,nan,nan,nan,nan
Gemma-2b,3.9,4.1,4.2,4.4,4.4,4.6,nan,nan,nan
Gemma-7b,1.6,1.7,1.8,2,2,nan,nan,nan,nan
Mistral-7b,14,16.2,18,18.2,17.5,16.6,15.6,15.1,nan
Mixtral-8x7b,0.1,0.2,0.4,0.6,1,nan,nan,nan,nan
Phi-1,29,47.5,65.8,74.8,78.5,78.3,71.6,76.2,nan
Phi-1_5,36.2,53.4,67.5,74.8,75.6,74.3,86,nan,nan
Phi-2,22,31.3,38.9,41.9,43.2,42,40.5,nan,nan
Starcoder-15b,21.4,26.7,35.7,43.8,50.2,47.9,46.2,50.3,nan
Starcoder2-3b,33.4,56.5,92,149.5,241.8,262.6,259.2,248.2,276.4
Starcoder2-7b,15.4,18,20.3,19.8,19.3,17.7,16.4,16.2,nan
Wizardcoder-15b,8,8.1,nan,nan,nan,nan,nan,nan,nan
