  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  62.7684  0.999 -183.8601 309.3969  False
     1      4 138.1296 0.7604 -108.4988 384.7581  False
     1      8 203.9842 0.2085  -42.6443 450.6127  False
     1     16 253.5357 0.0382    6.9072 500.1642   True
     1     32 282.1248 0.0114   35.4964 528.7533   True
     1     64 300.7411 0.0048   54.1126 547.3696   True
     1    128 304.7034  0.004   58.0749 551.3318   True
     1    256 307.8044 0.0034   61.1759 554.4329   True
     1    512 308.8594 0.0032   62.2309 555.4878   True
     1   1028 307.0452 0.0036   60.4167 553.6737   True
     2      4  75.3612 0.9956 -171.2672 321.9897  False
     2      8 141.2158  0.735 -105.4127 387.8443  False
     2     16 190.7673 0.2971  -55.8611 437.3958  False
     2     32 219.3565 0.1307   -27.272 465.9849  False
     2     64 237.9727  0.069   -8.6558 484.6012  False
     2    128  241.935 0.0597   -4.6935 488.5635  False
     2    256  245.036 0.0531   -1.5925 491.6645  False
     2    512  246.091  0.051   -0.5375 492.7194  False
     2   1028 244.2768 0.0547   -2.3517 490.9053  False
     4      8  65.8546 0.9985 -180.7739  312.483  False
     4     16 115.4061 0.9078 -131.2224 362.0346  False
     4     32 143.9952 0.7113 -102.6333 390.6237  False
     4     64 162.6115 0.5405   -84.017 409.2399  False
     4    128 166.5737 0.5035  -80.0547 413.2022  False
     4    256 169.6748 0.4748  -76.9537 416.3032  False
     4    512 170.7297 0.4652  -75.8987 417.3582  False
     4   1028 168.9156 0.4818  -77.7129  415.544  False
     8     16  49.5515 0.9999 -197.0769   296.18  False
     8     32  78.1406 0.9941 -168.4878 324.7691  False
     8     64  96.7569 0.9706 -149.8716 343.3854  False
     8    128 100.7192 0.9612 -145.9093 347.3476  False
     8    256 103.8202 0.9525 -142.8083 350.4487  False
     8    512 104.8752 0.9493 -141.7533 351.5036  False
     8   1028  103.061 0.9548 -143.5675 349.6895  False
    16     32  28.5891    1.0 -218.0393 275.2176  False
    16     64  47.2054 0.9999 -199.4231 293.8338  False
    16    128  51.1677 0.9998 -195.4608 297.7961  False
    16    256  54.2687 0.9997 -192.3598 300.8971  False
    16    512  55.3236 0.9997 -191.3048 301.9521  False
    16   1028  53.5095 0.9998  -193.119 300.1379  False
    32     64  18.6163    1.0 -228.0122 265.2447  False
    32    128  22.5785    1.0 -224.0499  269.207  False
    32    256  25.6796    1.0 -220.9489  272.308  False
    32    512  26.7345    1.0 -219.8939  273.363  False
    32   1028  24.9204    1.0 -221.7081 271.5488  False
    64    128   3.9623    1.0 -242.6662 250.5907  False
    64    256   7.0633    1.0 -239.5652 253.6918  False
    64    512   8.1183    1.0 -238.5102 254.7467  False
    64   1028   6.3041    1.0 -240.3244 252.9326  False
   128    256    3.101    1.0 -243.5274 249.7295  False
   128    512    4.156    1.0 -242.4725 250.7845  False
   128   1028   2.3418    1.0 -244.2866 248.9703  False
   256    512    1.055    1.0 -245.5735 247.6834  False
   256   1028  -0.7592    1.0 -247.3877 245.8693  False
   512   1028  -1.8142    1.0 -248.4426 244.8143  False
-------------------------------------------------------
