  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  33.0104 0.9981   -87.067 153.0878  False
     1      4  77.8353 0.5663  -42.2421 197.9126  False
     1      8 114.1336 0.0784   -5.9438 234.2109  False
     1     16 147.0874 0.0045     27.01 267.1647   True
     1     32 167.7619 0.0005   47.6845 287.8393   True
     1     64 177.7791 0.0002   57.7018 297.8565   True
     1    128 182.6988 0.0001   62.6215 302.7762   True
     1    256 185.1403 0.0001   65.0629 305.2177   True
     1    512 185.3466 0.0001   65.2693  305.424   True
     1   1028 185.1029 0.0001   65.0256 305.1803   True
     2      4  44.8249 0.9793  -75.2525 164.9023  False
     2      8  81.1232 0.5031  -38.9542 201.2005  False
     2     16  114.077 0.0788   -6.0004 234.1544  False
     2     32 134.7515 0.0145   14.6742 254.8289   True
     2     64 144.7687 0.0057   24.6914 264.8461   True
     2    128 149.6885 0.0035   29.6111 269.7658   True
     2    256 152.1299 0.0027   32.0526 272.2073   True
     2    512 152.3363 0.0027   32.2589 272.4136   True
     2   1028 152.0925 0.0027   32.0152 272.1699   True
     4      8  36.2983 0.9959  -83.7791 156.3756  False
     4     16  69.2521 0.7263  -50.8253 189.3295  False
     4     32  89.9266 0.3442  -30.1507  210.004  False
     4     64  99.9438 0.2009  -20.1335 220.0212  False
     4    128 104.8636 0.1483  -15.2138 224.9409  False
     4    256  107.305 0.1264  -12.7723 227.3824  False
     4    512 107.5114 0.1247   -12.566 227.5887  False
     4   1028 107.2676 0.1267  -12.8097  227.345  False
     8     16  32.9538 0.9982  -87.1235 153.0312  False
     8     32  53.6283 0.9306   -66.449 173.7057  False
     8     64  63.6456 0.8167  -56.4318 183.7229  False
     8    128  68.5653 0.7382  -51.5121 188.6426  False
     8    256  71.0068 0.6951  -49.0706 191.0841  False
     8    512  71.2131 0.6914  -48.8643 191.2904  False
     8   1028  70.9694 0.6958   -49.108 191.0467  False
    16     32  20.6745    1.0  -99.4028 140.7519  False
    16     64  30.6917  0.999  -89.3856 150.7691  False
    16    128  35.6115 0.9965  -84.4659 155.6888  False
    16    256  38.0529 0.9941  -82.0244 158.1303  False
    16    512  38.2593 0.9938  -81.8181 158.3366  False
    16   1028  38.0155 0.9941  -82.0618 158.0929  False
    32     64  10.0172    1.0 -110.0602 130.0946  False
    32    128  14.9369    1.0 -105.1404 135.0143  False
    32    256  17.3784    1.0  -102.699 137.4558  False
    32    512  17.5847    1.0 -102.4926 137.6621  False
    32   1028   17.341    1.0 -102.7364 137.4184  False
    64    128   4.9197    1.0 -115.1576 124.9971  False
    64    256   7.3612    1.0 -112.7162 127.4386  False
    64    512   7.5675    1.0 -112.5098 127.6449  False
    64   1028   7.3238    1.0 -112.7536 127.4012  False
   128    256   2.4415    1.0 -117.6359 122.5188  False
   128    512   2.6478    1.0 -117.4296 122.7252  False
   128   1028   2.4041    1.0 -117.6733 122.4814  False
   256    512   0.2063    1.0  -119.871 120.2837  False
   256   1028  -0.0374    1.0 -120.1148   120.04  False
   512   1028  -0.2437    1.0 -120.3211 119.8336  False
-------------------------------------------------------
