model,1,2,4,8,16,32,64,128,256
Bloom-1b7,29.4,40.1,53.7,56.2,57.2,64.6,79.7,nan,nan
Bloom-3b,21.1,28.5,34.2,34.9,34.2,43.2,nan,nan,nan
Bloom-7b1,11.9,15.8,17.9,17.8,17.4,15.9,16.9,nan,nan
Codellama-13b-hf,7,9.3,10.3,10.3,10.2,9.2,8.4,7.8,nan
Codellama-34b-hf,2.9,3.8,4.4,4.4,4.2,3.8,3.4,nan,nan
Codellama-70b-hf,0.2,0.4,0.7,1.1,1.4,nan,nan,nan,nan
Codellama-7b-hf,11.7,14.7,16.7,16.5,16.2,15.2,13.6,11.8,nan
Codestral-22b,3.9,5.3,6,6.1,5.8,5.2,4.3,4.4,nan
Mistral-7b,10.6,13.7,15.7,15.8,15.3,14.1,12.4,10.6,nan
Mixtral-8x7b,3.6,5.5,6.9,8,8.9,8.5,9.9,nan,nan
Phi-1_5,28.8,43.8,56.9,59.3,63.2,58.9,64,nan,nan
Phi-2,16.7,22.3,29.1,31.3,31.5,29.9,26.5,24.3,nan
Starcoder-15b,11.6,14.3,18.2,21.5,21.7,17.8,14,11.9,12.3
Starcoder2-3b,19.2,35.8,58.8,93.5,113.8,126.2,118.8,98.9,111.9
Starcoder2-7b,10.8,13.8,16.7,16.8,16.1,14.4,12.7,10.5,nan
Wizardcoder-15b,5.8,6.1,6.3,6.1,5.7,4.7,4,3.9,nan
Wizardcoder-33b,0.3,0.2,0.2,nan,nan,nan,nan,nan,nan
