model,1,2,4,8,16,32,64,128,256,512,1028
Bloom-1b7,65.6,128.4,236.9,373.8,517.7,630.1,704.5,753.4,776.5,775.1,742.5
Bloom-3b,63.1,124,227.9,344,460.4,557.7,613.6,658.9,671.3,674.4,658.1
Bloom-7b1,63,123.2,226.6,339.1,455.9,531.9,599.7,621.8,625.1,633.5,630
Codellama-13b-hf,45.3,86.8,153.1,218.4,269.3,238,229.5,258.5,248.8,247,246.8
Codellama-34b-hf,34.7,62.9,105,156,210.3,245.6,271.2,276.7,281.9,279.9,278.1
Codellama-70b-hf,21.7,39,64.3,95.4,129.1,151.3,165.9,170.5,173.3,173.4,172.9
Codellama-7b-hf,53.4,102.6,182.7,278.1,385.5,416.8,353.9,409.6,392.4,397,430.1
Codestral-22b,64.7,120.8,197,274.4,358.3,412.8,462.2,476.1,510.4,503.5,506.9
Gemma-2b,70.9,140.8,262,405.8,553.8,684.1,781.3,816.6,849.8,844.8,818.5
Gemma-7b,67.3,131.8,240,346.6,461.8,539.5,594.8,616.5,633.8,629.5,621.5
Mistral-7b,64.1,124.7,227.1,331.2,432.9,506.9,556.7,576.7,590.3,585.2,579.9
Mixtral-8x7b,58,112.7,186,240.8,296.2,335.2,362.6,376.1,382,381,379.8
Phi-1,67.4,133.7,245.9,368.4,512.1,623.9,697.9,730.2,735.8,749.6,748.2
Phi-1_5,67.5,134,246,369.8,510.4,617.8,698.4,729.7,731.9,739.9,738.8
Phi-2,64,126.3,229.1,341.9,465.5,557.2,616.3,648.6,663.4,669.4,657.3
Starcoder-15b,58.4,112.1,186.6,250.8,311.3,345.7,369.5,374.9,379.6,383.5,377
Starcoder2-3b,62.2,118.5,206.7,298.4,390.2,456.7,499.3,518.5,525.8,518.7,524.9
Wizardcoder-15b,57.3,110.6,183.6,245,303.7,337.7,361,366.6,370.5,374.8,371.4
Wizardcoder-33b,43.8,79.2,120.2,159.1,190.2,208.8,217.8,223.5,228.4,226.1,226.3
