  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  36.2377 0.9994 -114.1469 186.6223  False
     1      4  77.4343 0.8396  -72.9503 227.8189  False
     1      8 108.5461 0.3975  -41.8385 258.9307  False
     1     16 133.0377  0.135  -17.3469 283.4223  False
     1     32 146.7069 0.0626   -3.6776 297.0915  False
     1     64 151.9453 0.0453    1.5607 302.3299   True
     1    128 155.2233 0.0368    4.8387 305.6079   True
     1    256 156.6436 0.0335     6.259 307.0281   True
     1    512 156.6397 0.0335    6.2552 307.0243   True
     1   1028 157.1119 0.0325    6.7273 307.4965   True
     2      4  41.1966 0.9981  -109.188 191.5812  False
     2      8  72.3084 0.8899  -78.0762  222.693  False
     2     16     96.8 0.5733  -53.5846 247.1846  False
     2     32 110.4693 0.3707  -39.9153 260.8539  False
     2     64 115.7076 0.3025  -34.6769 266.0922  False
     2    128 118.9856 0.2637   -31.399 269.3702  False
     2    256 120.4059  0.248  -29.9787 270.7905  False
     2    512 120.4021  0.248  -29.9825 270.7867  False
     2   1028 120.8742 0.2429  -29.5104 271.2588  False
     4      8  31.1118 0.9998 -119.2728 181.4964  False
     4     16  55.6034 0.9802  -94.7812  205.988  False
     4     32  69.2726 0.9144  -81.1119 219.6572  False
     4     64   74.511 0.8696  -75.8736 224.8956  False
     4    128   77.789 0.8358  -72.5956 228.1736  False
     4    256  79.2093 0.8197  -71.1753 229.5939  False
     4    512  79.2055 0.8198  -71.1791   229.59  False
     4   1028  79.6776 0.8143   -70.707 230.0622  False
     8     16  24.4916    1.0  -125.893 174.8762  False
     8     32  38.1608  0.999 -112.2237 188.5454  False
     8     64  43.3992 0.9971 -106.9854 193.7838  False
     8    128  46.6772 0.9948 -103.7074 197.0618  False
     8    256  48.0975 0.9934 -102.2871 198.4821  False
     8    512  48.0937 0.9934 -102.2909 198.4782  False
     8   1028  48.5658 0.9929 -101.8188 198.9504  False
    16     32  13.6693    1.0 -136.7153 164.0538  False
    16     64  18.9076    1.0  -131.477 169.2922  False
    16    128  22.1856    1.0  -128.199 172.5702  False
    16    256  23.6059    1.0 -126.7787 173.9905  False
    16    512  23.6021    1.0 -126.7825 173.9866  False
    16   1028  24.0742    1.0 -126.3104 174.4588  False
    32     64   5.2384    1.0 -145.1462  155.623  False
    32    128   8.5164    1.0 -141.8682  158.901  False
    32    256   9.9366    1.0  -140.448 160.3212  False
    32    512   9.9328    1.0 -140.4518 160.3174  False
    32   1028  10.4049    1.0 -139.9796 160.7895  False
    64    128    3.278    1.0 -147.1066 153.6626  False
    64    256   4.6982    1.0 -145.6864 155.0828  False
    64    512   4.6944    1.0 -145.6902  155.079  False
    64   1028   5.1666    1.0  -145.218 155.5511  False
   128    256   1.4202    1.0 -148.9643 151.8048  False
   128    512   1.4164    1.0 -148.9682  151.801  False
   128   1028   1.8886    1.0  -148.496 152.2732  False
   256    512  -0.0038    1.0 -150.3884 150.3808  False
   256   1028   0.4683    1.0 -149.9163 150.8529  False
   512   1028   0.4721    1.0 -149.9124 150.8567  False
-------------------------------------------------------
