,model,nrGPUs,throughput,nrGPUs-2,Per-GPU
0,Bloom-1b7,1,37.6,1,45.6
1,Bloom-3b,1,27.3,1,57.6
2,Bloom-7b1,1,16.8,1,76.6
3,Codellama-13b-hf,2,9.7,1,57.3
4,Codellama-34b-hf,4,4.1,1,49.3
5,Codellama-70b-hf,8,1.8,4,18.3
6,Codellama-7b-hf,1,15.7,1,89.3
7,Codestral-22b,4,5.4,1,62.9
8,Gemma-2b,1,28.8,1,70.9
9,Gemma-7b,4,6.4,1,64.3
10,Mistral-7b,1,14.3,1,88.2
11,Mixtral-8x7b,8,4.1,1,15.6
12,Phi-1,2,29,2,23.1
13,Phi-1_5,1,37,1,55.9
14,Phi-2,2,22,2,28.4
15,Starcoder-15b,1,30.7,1,65.6
16,Starcoder2-3b,1,44.8,1,33.4
17,Starcoder2-7b,1,15.7,1,89.2
18,Wizardcoder-15b,2,8,1,65.8
19,Wizardcoder-33b,4,1.6,1,61.1
