model,1,2,4,8
Bloom-1b7,30.1,26,24.6,29.4
Bloom-3b,21.7,17.1,18.4,21.1
Bloom-7b1,13.3,12.8,12.9,11.9
Codellama-13b-hf,0.3,7,7.1,7
Codellama-34b-hf,0.1,0.1,0.8,2.9
Codellama-70b-hf,nan,nan,0,0.2
Codellama-7b-hf,12.3,11.6,11.7,11.7
Codestral-22b,0.1,0.3,3.9,3.9
Gemma-2b,22,4.8,nan,nan
Gemma-7b,1.2,3.1,nan,nan
Mistral-7b,11.5,11.5,10.2,10.6
Mixtral-8x7b,0.1,0.1,0.2,3.6
Phi-1_5,28.6,24.6,29.1,28.8
Phi-2,16.4,16.8,17.1,16.7
Starcoder-15b,3.5,12.2,11.4,11.6
Starcoder2-3b,29,24.9,20.8,19.2
Starcoder2-7b,12.4,12.3,11.4,10.8
Wizardcoder-15b,0.2,5.9,5.8,5.8
Wizardcoder-33b,0.1,nan,nan,0.3
