model,1,2,4,8
Bloom-1b7,101.50655979847411,51.7230195917155,49.762471673726715,46.23683017007651
Bloom-3b,67.62598074040108,48.531882653106315,46.913682358161736,43.132806515803175
Bloom-7b1,34.41889453182994,44.32022843601305,46.76018245207816,43.4425456927936
Codellama-13b-hf,16.13187053106845,23.09073513512607,25.95424616962406,23.89372981278773
Codellama-34b-hf,nan,nan,17.500037032213694,18.52200873021996
Codellama-70b-hf,nan,nan,nan,11.363174883303298
Codellama-7b-hf,31.217316188434086,31.6783585126713,31.51391041274239,28.298333068654955
Codestral-22b,nan,nan,26.193558475868496,29.366064647968816
Gemma-2b,82.25152728415998,54.84500745002819,51.987532778889026,50.86586494980052
Gemma-7b,25.038946301397175,36.817669762879085,48.431904066355834,46.15777872289271
Mistral-7b,29.974811836168413,36.10844031743759,42.89481963779185,41.90710490992568
Mixtral-8x7b,nan,nan,nan,37.01439426917568
Phi-1,120.71135933230605,53.50985915271536,50.52448691754694,47.118231848918974
Phi-1_5,110.86930065159792,53.81782873420849,51.38254150886257,47.67436204849026
Phi-2,70.27214118208032,49.14950741119653,46.710786958513154,43.29248746367327
Starcoder-15b,nan,22.34779223928103,32.3872232290536,36.54965229278998
Starcoder2-3b,57.05986231723298,45.045604228364425,43.135602331604424,40.03531816603973
Starcoder2-7b,31.39460053376277,37.283752387525645,42.156287795886406,nan
Wizardcoder-15b,nan,22.23122439560788,32.27681027350947,36.75463424084487
Wizardcoder-33b,nan,nan,37.06874216887825,26.388795159950416
